"posicao","temperatura"
1.500000e-04, 6.565263e+02  
4.500000e-04, 6.455339e+02  
7.500000e-04, 6.346600e+02  
1.050000e-03, 6.239047e+02  
1.350000e-03, 6.132678e+02  
1.650000e-03, 6.027492e+02  
1.950000e-03, 5.923488e+02  
2.250000e-03, 5.820664e+02  
2.550000e-03, 5.719018e+02  
2.850000e-03, 5.618546e+02  
3.150000e-03, 5.519247e+02  
3.450000e-03, 5.421118e+02  
3.750000e-03, 5.324154e+02  
4.050000e-03, 5.228353e+02  
4.350000e-03, 5.133710e+02  
4.650000e-03, 5.040221e+02  
4.950000e-03, 4.947882e+02  
5.250000e-03, 4.856687e+02  
5.550000e-03, 4.766631e+02  
5.850000e-03, 4.677709e+02  
6.150000e-03, 4.589915e+02  
6.450000e-03, 4.503244e+02  
6.750000e-03, 4.417688e+02  
7.050000e-03, 4.333241e+02  
7.350000e-03, 4.249896e+02  
7.650000e-03, 4.167646e+02  
7.950000e-03, 4.086484e+02  
8.250000e-03, 4.006401e+02  
8.550000e-03, 3.927391e+02  
8.850000e-03, 3.849443e+02  
9.150000e-03, 3.772551e+02  
9.450000e-03, 3.696704e+02  
9.750000e-03, 3.621895e+02  
1.005000e-02, 3.548113e+02  
1.035000e-02, 3.475349e+02  
1.065000e-02, 3.403594e+02  
1.095000e-02, 3.332836e+02  
1.125000e-02, 3.263066e+02  
1.155000e-02, 3.194274e+02  
1.185000e-02, 3.126447e+02  
1.215000e-02, 3.059576e+02  
1.245000e-02, 2.993648e+02  
1.275000e-02, 2.928653e+02  
1.305000e-02, 2.864579e+02  
1.335000e-02, 2.801413e+02  
1.365000e-02, 2.739143e+02  
1.395000e-02, 2.677758e+02  
1.425000e-02, 2.617244e+02  
1.455000e-02, 2.557588e+02  
1.485000e-02, 2.498777e+02  
1.515000e-02, 2.440799e+02  
1.545000e-02, 2.383639e+02  
1.575000e-02, 2.327285e+02  
1.605000e-02, 2.271722e+02  
1.635000e-02, 2.216935e+02  
1.665000e-02, 2.162912e+02  
1.695000e-02, 2.109638e+02  
1.725000e-02, 2.057097e+02  
1.755000e-02, 2.005276e+02  
1.785000e-02, 1.954160e+02  
1.815000e-02, 1.903732e+02  
1.845000e-02, 1.853979e+02  
1.875000e-02, 1.804885e+02  
1.905000e-02, 1.756434e+02  
1.935000e-02, 1.708611e+02  
1.965000e-02, 1.661399e+02  
1.995000e-02, 1.614783e+02  
2.025000e-02, 1.568748e+02  
2.055000e-02, 1.523275e+02  
2.085000e-02, 1.478350e+02  
2.115000e-02, 1.433956e+02  
2.145000e-02, 1.390076e+02  
2.175000e-02, 1.346694e+02  
2.205000e-02, 1.303792e+02  
2.235000e-02, 1.261354e+02  
2.265000e-02, 1.219363e+02  
2.295000e-02, 1.177802e+02  
2.325000e-02, 1.136653e+02  
2.355000e-02, 1.095899e+02  
2.385000e-02, 1.055523e+02  
2.415000e-02, 1.015508e+02  
2.445000e-02, 9.758356e+01  
2.475000e-02, 9.364883e+01  
2.505000e-02, 8.974486e+01  
2.535000e-02, 8.586986e+01  
2.565000e-02, 8.202207e+01  
2.595000e-02, 7.819969e+01  
2.625000e-02, 7.440093e+01  
2.655000e-02, 7.062399e+01  
2.685000e-02, 6.686707e+01  
2.715000e-02, 6.312837e+01  
2.745000e-02, 5.940607e+01  
2.775000e-02, 5.569836e+01  
2.805000e-02, 5.200343e+01  
2.835000e-02, 4.831944e+01  
2.865000e-02, 4.464459e+01  
2.895000e-02, 4.097705e+01  
2.925000e-02, 3.731499e+01  
2.955000e-02, 3.365658e+01  
2.985000e-02, 3.000000e+01  
