"posicao","temperatura"
1.500000e-05, 7.916139e+02  
4.500000e-05, 7.905036e+02  
7.500000e-05, 7.893942e+02  
1.050000e-04, 7.882857e+02  
1.350000e-04, 7.871780e+02  
1.650000e-04, 7.860712e+02  
1.950000e-04, 7.849653e+02  
2.250000e-04, 7.838602e+02  
2.550000e-04, 7.827560e+02  
2.850000e-04, 7.816526e+02  
3.150000e-04, 7.805501e+02  
3.450000e-04, 7.794485e+02  
3.750000e-04, 7.783477e+02  
4.050000e-04, 7.772478e+02  
4.350000e-04, 7.761487e+02  
4.650000e-04, 7.750505e+02  
4.950000e-04, 7.739532e+02  
5.250000e-04, 7.728567e+02  
5.550000e-04, 7.717611e+02  
5.850000e-04, 7.706663e+02  
6.150000e-04, 7.695724e+02  
6.450000e-04, 7.684794e+02  
6.750000e-04, 7.673872e+02  
7.050000e-04, 7.662959e+02  
7.350000e-04, 7.652054e+02  
7.650000e-04, 7.641158e+02  
7.950000e-04, 7.630271e+02  
8.250000e-04, 7.619392e+02  
8.550000e-04, 7.608522e+02  
8.850000e-04, 7.597660e+02  
9.150000e-04, 7.586807e+02  
9.450000e-04, 7.575963e+02  
9.750000e-04, 7.565127e+02  
1.005000e-03, 7.554300e+02  
1.035000e-03, 7.543482e+02  
1.065000e-03, 7.532672e+02  
1.095000e-03, 7.521870e+02  
1.125000e-03, 7.511078e+02  
1.155000e-03, 7.500293e+02  
1.185000e-03, 7.489518e+02  
1.215000e-03, 7.478751e+02  
1.245000e-03, 7.467992e+02  
1.275000e-03, 7.457243e+02  
1.305000e-03, 7.446501e+02  
1.335000e-03, 7.435769e+02  
1.365000e-03, 7.425045e+02  
1.395000e-03, 7.414329e+02  
1.425000e-03, 7.403622e+02  
1.455000e-03, 7.392924e+02  
1.485000e-03, 7.382234e+02  
1.515000e-03, 7.371553e+02  
1.545000e-03, 7.360881e+02  
1.575000e-03, 7.350217e+02  
1.605000e-03, 7.339561e+02  
1.635000e-03, 7.328914e+02  
1.665000e-03, 7.318276e+02  
1.695000e-03, 7.307647e+02  
1.725000e-03, 7.297025e+02  
1.755000e-03, 7.286413e+02  
1.785000e-03, 7.275809e+02  
1.815000e-03, 7.265214e+02  
1.845000e-03, 7.254627e+02  
1.875000e-03, 7.244049e+02  
1.905000e-03, 7.233479e+02  
1.935000e-03, 7.222918e+02  
1.965000e-03, 7.212365e+02  
1.995000e-03, 7.201821e+02  
2.025000e-03, 7.191286e+02  
2.055000e-03, 7.180759e+02  
2.085000e-03, 7.170241e+02  
2.115000e-03, 7.159731e+02  
2.145000e-03, 7.149230e+02  
2.175000e-03, 7.138737e+02  
2.205000e-03, 7.128253e+02  
2.235000e-03, 7.117778e+02  
2.265000e-03, 7.107311e+02  
2.295000e-03, 7.096852e+02  
2.325000e-03, 7.086402e+02  
2.355000e-03, 7.075961e+02  
2.385000e-03, 7.065528e+02  
2.415000e-03, 7.055104e+02  
2.445000e-03, 7.044688e+02  
2.475000e-03, 7.034281e+02  
2.505000e-03, 7.023883e+02  
2.535000e-03, 7.013492e+02  
2.565000e-03, 7.003111e+02  
2.595000e-03, 6.992738e+02  
2.625000e-03, 6.982373e+02  
2.655000e-03, 6.972017e+02  
2.685000e-03, 6.961670e+02  
2.715000e-03, 6.951331e+02  
2.745000e-03, 6.941001e+02  
2.775000e-03, 6.930679e+02  
2.805000e-03, 6.920365e+02  
2.835000e-03, 6.910060e+02  
2.865000e-03, 6.899764e+02  
2.895000e-03, 6.889476e+02  
2.925000e-03, 6.879197e+02  
2.955000e-03, 6.868926e+02  
2.985000e-03, 6.858664e+02  
3.015000e-03, 6.848410e+02  
3.045000e-03, 6.838165e+02  
3.075000e-03, 6.827928e+02  
3.105000e-03, 6.817699e+02  
3.135000e-03, 6.807480e+02  
3.165000e-03, 6.797268e+02  
3.195000e-03, 6.787066e+02  
3.225000e-03, 6.776871e+02  
3.255000e-03, 6.766685e+02  
3.285000e-03, 6.756508e+02  
3.315000e-03, 6.746339e+02  
3.345000e-03, 6.736179e+02  
3.375000e-03, 6.726027e+02  
3.405000e-03, 6.715883e+02  
3.435000e-03, 6.705748e+02  
3.465000e-03, 6.695622e+02  
3.495000e-03, 6.685504e+02  
3.525000e-03, 6.675394e+02  
3.555000e-03, 6.665293e+02  
3.585000e-03, 6.655200e+02  
3.615000e-03, 6.645116e+02  
3.645000e-03, 6.635040e+02  
3.675000e-03, 6.624973e+02  
3.705000e-03, 6.614914e+02  
3.735000e-03, 6.604864e+02  
3.765000e-03, 6.594822e+02  
3.795000e-03, 6.584788e+02  
3.825000e-03, 6.574763e+02  
3.855000e-03, 6.564746e+02  
3.885000e-03, 6.554738e+02  
3.915000e-03, 6.544738e+02  
3.945000e-03, 6.534747e+02  
3.975000e-03, 6.524764e+02  
4.005000e-03, 6.514789e+02  
4.035000e-03, 6.504823e+02  
4.065000e-03, 6.494866e+02  
4.095000e-03, 6.484916e+02  
4.125000e-03, 6.474975e+02  
4.155000e-03, 6.465043e+02  
4.185000e-03, 6.455119e+02  
4.215000e-03, 6.445203e+02  
4.245000e-03, 6.435296e+02  
4.275000e-03, 6.425397e+02  
4.305000e-03, 6.415507e+02  
4.335000e-03, 6.405625e+02  
4.365000e-03, 6.395751e+02  
4.395000e-03, 6.385886e+02  
4.425000e-03, 6.376029e+02  
4.455000e-03, 6.366180e+02  
4.485000e-03, 6.356340e+02  
4.515000e-03, 6.346508e+02  
4.545000e-03, 6.336685e+02  
4.575000e-03, 6.326870e+02  
4.605000e-03, 6.317063e+02  
4.635000e-03, 6.307265e+02  
4.665000e-03, 6.297475e+02  
4.695000e-03, 6.287693e+02  
4.725000e-03, 6.277920e+02  
4.755000e-03, 6.268155e+02  
4.785000e-03, 6.258398e+02  
4.815000e-03, 6.248650e+02  
4.845000e-03, 6.238910e+02  
4.875000e-03, 6.229178e+02  
4.905000e-03, 6.219455e+02  
4.935000e-03, 6.209740e+02  
4.965000e-03, 6.200033e+02  
4.995000e-03, 6.190335e+02  
5.025000e-03, 6.180645e+02  
5.055000e-03, 6.170963e+02  
5.085000e-03, 6.161290e+02  
5.115000e-03, 6.151625e+02  
5.145000e-03, 6.141968e+02  
5.175000e-03, 6.132320e+02  
5.205000e-03, 6.122680e+02  
5.235000e-03, 6.113048e+02  
5.265000e-03, 6.103424e+02  
5.295000e-03, 6.093809e+02  
5.325000e-03, 6.084202e+02  
5.355000e-03, 6.074603e+02  
5.385000e-03, 6.065012e+02  
5.415000e-03, 6.055430e+02  
5.445000e-03, 6.045856e+02  
5.475000e-03, 6.036290e+02  
5.505000e-03, 6.026733e+02  
5.535000e-03, 6.017184e+02  
5.565000e-03, 6.007643e+02  
5.595000e-03, 5.998110e+02  
5.625000e-03, 5.988586e+02  
5.655000e-03, 5.979069e+02  
5.685000e-03, 5.969561e+02  
5.715000e-03, 5.960062e+02  
5.745000e-03, 5.950570e+02  
5.775000e-03, 5.941087e+02  
5.805000e-03, 5.931612e+02  
5.835000e-03, 5.922145e+02  
5.865000e-03, 5.912686e+02  
5.895000e-03, 5.903235e+02  
5.925000e-03, 5.893793e+02  
5.955000e-03, 5.884359e+02  
5.985000e-03, 5.874933e+02  
6.015000e-03, 5.865515e+02  
6.045000e-03, 5.856106e+02  
6.075000e-03, 5.846705e+02  
6.105000e-03, 5.837311e+02  
6.135000e-03, 5.827926e+02  
6.165000e-03, 5.818549e+02  
6.195000e-03, 5.809181e+02  
6.225000e-03, 5.799820e+02  
6.255000e-03, 5.790468e+02  
6.285000e-03, 5.781124e+02  
6.315000e-03, 5.771788e+02  
6.345000e-03, 5.762460e+02  
6.375000e-03, 5.753140e+02  
6.405000e-03, 5.743828e+02  
6.435000e-03, 5.734525e+02  
6.465000e-03, 5.725229e+02  
6.495000e-03, 5.715942e+02  
6.525000e-03, 5.706663e+02  
6.555000e-03, 5.697392e+02  
6.585000e-03, 5.688129e+02  
6.615000e-03, 5.678874e+02  
6.645000e-03, 5.669627e+02  
6.675000e-03, 5.660388e+02  
6.705000e-03, 5.651158e+02  
6.735000e-03, 5.641935e+02  
6.765000e-03, 5.632721e+02  
6.795000e-03, 5.623514e+02  
6.825000e-03, 5.614316e+02  
6.855000e-03, 5.605126e+02  
6.885000e-03, 5.595943e+02  
6.915000e-03, 5.586769e+02  
6.945000e-03, 5.577603e+02  
6.975000e-03, 5.568445e+02  
7.005000e-03, 5.559295e+02  
7.035000e-03, 5.550153e+02  
7.065000e-03, 5.541019e+02  
7.095000e-03, 5.531893e+02  
7.125000e-03, 5.522775e+02  
7.155000e-03, 5.513665e+02  
7.185000e-03, 5.504564e+02  
7.215000e-03, 5.495470e+02  
7.245000e-03, 5.486384e+02  
7.275000e-03, 5.477306e+02  
7.305000e-03, 5.468236e+02  
7.335000e-03, 5.459174e+02  
7.365000e-03, 5.450120e+02  
7.395000e-03, 5.441074e+02  
7.425000e-03, 5.432036e+02  
7.455000e-03, 5.423006e+02  
7.485000e-03, 5.413984e+02  
7.515000e-03, 5.404970e+02  
7.545000e-03, 5.395964e+02  
7.575000e-03, 5.386966e+02  
7.605000e-03, 5.377975e+02  
7.635000e-03, 5.368993e+02  
7.665000e-03, 5.360018e+02  
7.695000e-03, 5.351052e+02  
7.725000e-03, 5.342093e+02  
7.755000e-03, 5.333143e+02  
7.785000e-03, 5.324200e+02  
7.815000e-03, 5.315265e+02  
7.845000e-03, 5.306338e+02  
7.875000e-03, 5.297419e+02  
7.905000e-03, 5.288508e+02  
7.935000e-03, 5.279604e+02  
7.965000e-03, 5.270709e+02  
7.995000e-03, 5.261821e+02  
8.025000e-03, 5.252941e+02  
8.055000e-03, 5.244070e+02  
8.085000e-03, 5.235206e+02  
8.115000e-03, 5.226349e+02  
8.145000e-03, 5.217501e+02  
8.175000e-03, 5.208660e+02  
8.205000e-03, 5.199828e+02  
8.235000e-03, 5.191003e+02  
8.265000e-03, 5.182186e+02  
8.295000e-03, 5.173377e+02  
8.325000e-03, 5.164575e+02  
8.355000e-03, 5.155782e+02  
8.385000e-03, 5.146996e+02  
8.415000e-03, 5.138218e+02  
8.445000e-03, 5.129447e+02  
8.475000e-03, 5.120685e+02  
8.505000e-03, 5.111930e+02  
8.535000e-03, 5.103183e+02  
8.565000e-03, 5.094444e+02  
8.595000e-03, 5.085713e+02  
8.625000e-03, 5.076989e+02  
8.655000e-03, 5.068273e+02  
8.685000e-03, 5.059565e+02  
8.715000e-03, 5.050864e+02  
8.745000e-03, 5.042172e+02  
8.775000e-03, 5.033487e+02  
