"posicao","temperatura"
1.500000e-04, 3.418054e+02  
4.500000e-04, 3.309420e+02  
7.500000e-04, 3.203260e+02  
1.050000e-03, 3.099570e+02  
1.350000e-03, 2.998346e+02  
1.650000e-03, 2.899579e+02  
1.950000e-03, 2.803259e+02  
2.250000e-03, 2.709376e+02  
2.550000e-03, 2.617916e+02  
2.850000e-03, 2.528864e+02  
3.150000e-03, 2.442203e+02  
3.450000e-03, 2.357914e+02  
3.750000e-03, 2.275977e+02  
4.050000e-03, 2.196371e+02  
4.350000e-03, 2.119071e+02  
4.650000e-03, 2.044053e+02  
4.950000e-03, 1.971290e+02  
5.250000e-03, 1.900754e+02  
5.550000e-03, 1.832415e+02  
5.850000e-03, 1.766244e+02  
6.150000e-03, 1.702208e+02  
6.450000e-03, 1.640274e+02  
6.750000e-03, 1.580407e+02  
7.050000e-03, 1.522574e+02  
7.350000e-03, 1.466737e+02  
7.650000e-03, 1.412859e+02  
7.950000e-03, 1.360903e+02  
8.250000e-03, 1.310830e+02  
8.550000e-03, 1.262600e+02  
8.850000e-03, 1.216175e+02  
9.150000e-03, 1.171513e+02  
9.450000e-03, 1.128573e+02  
9.750000e-03, 1.087315e+02  
1.005000e-02, 1.047697e+02  
1.035000e-02, 1.009677e+02  
1.065000e-02, 9.732132e+01  
1.095000e-02, 9.382640e+01  
1.125000e-02, 9.047873e+01  
1.155000e-02, 8.727410e+01  
1.185000e-02, 8.420835e+01  
1.215000e-02, 8.127729e+01  
1.245000e-02, 7.847680e+01  
1.275000e-02, 7.580275e+01  
1.305000e-02, 7.325107e+01  
1.335000e-02, 7.081772e+01  
1.365000e-02, 6.849869e+01  
1.395000e-02, 6.629004e+01  
1.425000e-02, 6.418786e+01  
1.455000e-02, 6.218833e+01  
1.485000e-02, 6.028766e+01  
1.515000e-02, 5.848214e+01  
1.545000e-02, 5.676812e+01  
1.575000e-02, 5.514201e+01  
1.605000e-02, 5.360033e+01  
1.635000e-02, 5.213963e+01  
1.665000e-02, 5.075656e+01  
1.695000e-02, 4.944785e+01  
1.725000e-02, 4.821031e+01  
1.755000e-02, 4.704083e+01  
1.785000e-02, 4.593638e+01  
1.815000e-02, 4.489401e+01  
1.845000e-02, 4.391086e+01  
1.875000e-02, 4.298417e+01  
1.905000e-02, 4.211123e+01  
1.935000e-02, 4.128945e+01  
1.965000e-02, 4.051629e+01  
1.995000e-02, 3.978933e+01  
2.025000e-02, 3.910620e+01  
2.055000e-02, 3.846462e+01  
2.085000e-02, 3.786241e+01  
2.115000e-02, 3.729746e+01  
2.145000e-02, 3.676771e+01  
2.175000e-02, 3.627122e+01  
2.205000e-02, 3.580610e+01  
2.235000e-02, 3.537052e+01  
2.265000e-02, 3.496277e+01  
2.295000e-02, 3.458114e+01  
2.325000e-02, 3.422405e+01  
2.355000e-02, 3.388995e+01  
2.385000e-02, 3.357736e+01  
2.415000e-02, 3.328485e+01  
2.445000e-02, 3.301106e+01  
2.475000e-02, 3.275469e+01  
2.505000e-02, 3.251447e+01  
2.535000e-02, 3.228919e+01  
2.565000e-02, 3.207770e+01  
2.595000e-02, 3.187888e+01  
2.625000e-02, 3.169165e+01  
2.655000e-02, 3.151496e+01  
2.685000e-02, 3.134782e+01  
2.715000e-02, 3.118925e+01  
2.745000e-02, 3.103832e+01  
2.775000e-02, 3.089410e+01  
2.805000e-02, 3.075571e+01  
2.835000e-02, 3.062227e+01  
2.865000e-02, 3.049293e+01  
2.895000e-02, 3.036686e+01  
2.925000e-02, 3.024322e+01  
2.955000e-02, 3.012121e+01  
2.985000e-02, 3.000000e+01  
