"posicao","temperatura"
1.500000e-04, 7.265884e+02  
4.500000e-04, 7.155780e+02  
7.500000e-04, 7.046682e+02  
1.050000e-03, 6.938591e+02  
1.350000e-03, 6.831505e+02  
1.650000e-03, 6.725423e+02  
1.950000e-03, 6.620345e+02  
2.250000e-03, 6.516267e+02  
2.550000e-03, 6.413190e+02  
2.850000e-03, 6.311111e+02  
3.150000e-03, 6.210026e+02  
3.450000e-03, 6.109935e+02  
3.750000e-03, 6.010834e+02  
4.050000e-03, 5.912720e+02  
4.350000e-03, 5.815590e+02  
4.650000e-03, 5.719441e+02  
4.950000e-03, 5.624268e+02  
5.250000e-03, 5.530067e+02  
5.550000e-03, 5.436835e+02  
5.850000e-03, 5.344566e+02  
6.150000e-03, 5.253256e+02  
6.450000e-03, 5.162901e+02  
6.750000e-03, 5.073494e+02  
7.050000e-03, 4.985030e+02  
7.350000e-03, 4.897504e+02  
7.650000e-03, 4.810910e+02  
7.950000e-03, 4.725241e+02  
8.250000e-03, 4.640491e+02  
8.550000e-03, 4.556654e+02  
8.850000e-03, 4.473722e+02  
9.150000e-03, 4.391689e+02  
9.450000e-03, 4.310546e+02  
9.750000e-03, 4.230288e+02  
1.005000e-02, 4.150905e+02  
1.035000e-02, 4.072390e+02  
1.065000e-02, 3.994735e+02  
1.095000e-02, 3.917931e+02  
1.125000e-02, 3.841970e+02  
1.155000e-02, 3.766842e+02  
1.185000e-02, 3.692540e+02  
1.215000e-02, 3.619053e+02  
1.245000e-02, 3.546372e+02  
1.275000e-02, 3.474487e+02  
1.305000e-02, 3.403389e+02  
1.335000e-02, 3.333067e+02  
1.365000e-02, 3.263512e+02  
1.395000e-02, 3.194713e+02  
1.425000e-02, 3.126659e+02  
1.455000e-02, 3.059340e+02  
1.485000e-02, 2.992744e+02  
1.515000e-02, 2.926861e+02  
1.545000e-02, 2.861679e+02  
1.575000e-02, 2.797186e+02  
1.605000e-02, 2.733371e+02  
1.635000e-02, 2.670223e+02  
1.665000e-02, 2.607728e+02  
1.695000e-02, 2.545876e+02  
1.725000e-02, 2.484653e+02  
1.755000e-02, 2.424047e+02  
1.785000e-02, 2.364046e+02  
1.815000e-02, 2.304637e+02  
1.845000e-02, 2.245807e+02  
1.875000e-02, 2.187542e+02  
1.905000e-02, 2.129831e+02  
1.935000e-02, 2.072658e+02  
1.965000e-02, 2.016012e+02  
1.995000e-02, 1.959877e+02  
2.025000e-02, 1.904242e+02  
2.055000e-02, 1.849091e+02  
2.085000e-02, 1.794411e+02  
2.115000e-02, 1.740188e+02  
2.145000e-02, 1.686408e+02  
2.175000e-02, 1.633056e+02  
2.205000e-02, 1.580118e+02  
2.235000e-02, 1.527579e+02  
2.265000e-02, 1.475425e+02  
2.295000e-02, 1.423642e+02  
2.325000e-02, 1.372214e+02  
2.355000e-02, 1.321127e+02  
2.385000e-02, 1.270366e+02  
2.415000e-02, 1.219915e+02  
2.445000e-02, 1.169760e+02  
2.475000e-02, 1.119886e+02  
2.505000e-02, 1.070277e+02  
2.535000e-02, 1.020918e+02  
2.565000e-02, 9.717937e+01  
2.595000e-02, 9.228888e+01  
2.625000e-02, 8.741877e+01  
2.655000e-02, 8.256751e+01  
2.685000e-02, 7.773352e+01  
2.715000e-02, 7.291527e+01  
2.745000e-02, 6.811118e+01  
2.775000e-02, 6.331969e+01  
2.805000e-02, 5.853923e+01  
2.835000e-02, 5.376823e+01  
2.865000e-02, 4.900511e+01  
2.895000e-02, 4.424831e+01  
2.925000e-02, 3.949624e+01  
2.955000e-02, 3.474733e+01  
2.985000e-02, 3.000000e+01  
