"posicao","temperatura"
6.000000e-05, 7.897970e+02  
1.800000e-04, 7.853663e+02  
3.000000e-04, 7.809493e+02  
4.200000e-04, 7.765462e+02  
5.400000e-04, 7.721567e+02  
6.600000e-04, 7.677810e+02  
7.800000e-04, 7.634191e+02  
9.000000e-04, 7.590709e+02  
1.020000e-03, 7.547365e+02  
1.140000e-03, 7.504157e+02  
1.260000e-03, 7.461088e+02  
1.380000e-03, 7.418155e+02  
1.500000e-03, 7.375360e+02  
1.620000e-03, 7.332701e+02  
1.740000e-03, 7.290180e+02  
1.860000e-03, 7.247796e+02  
1.980000e-03, 7.205548e+02  
2.100000e-03, 7.163438e+02  
2.220000e-03, 7.121464e+02  
2.340000e-03, 7.079627e+02  
2.460000e-03, 7.037926e+02  
2.580000e-03, 6.996361e+02  
2.700000e-03, 6.954933e+02  
2.820000e-03, 6.913641e+02  
2.940000e-03, 6.872486e+02  
3.060000e-03, 6.831466e+02  
3.180000e-03, 6.790581e+02  
3.300000e-03, 6.749833e+02  
3.420000e-03, 6.709220e+02  
3.540000e-03, 6.668742e+02  
3.660000e-03, 6.628399e+02  
3.780000e-03, 6.588192e+02  
3.900000e-03, 6.548119e+02  
4.020000e-03, 6.508181e+02  
4.140000e-03, 6.468378e+02  
4.260000e-03, 6.428708e+02  
4.380000e-03, 6.389173e+02  
4.500000e-03, 6.349772e+02  
4.620000e-03, 6.310504e+02  
4.740000e-03, 6.271370e+02  
4.860000e-03, 6.232370e+02  
4.980000e-03, 6.193502e+02  
5.100000e-03, 6.154767e+02  
5.220000e-03, 6.116165e+02  
5.340000e-03, 6.077696e+02  
5.460000e-03, 6.039358e+02  
5.580000e-03, 6.001152e+02  
5.700000e-03, 5.963078e+02  
5.820000e-03, 5.925136e+02  
5.940000e-03, 5.887325e+02  
6.060000e-03, 5.849644e+02  
6.180000e-03, 5.812094e+02  
6.300000e-03, 5.774675e+02  
6.420000e-03, 5.737385e+02  
6.540000e-03, 5.700226e+02  
6.660000e-03, 5.663196e+02  
6.780000e-03, 5.626295e+02  
6.900000e-03, 5.589523e+02  
7.020000e-03, 5.552879e+02  
7.140000e-03, 5.516364e+02  
7.260000e-03, 5.479977e+02  
7.380000e-03, 5.443718e+02  
7.500000e-03, 5.407586e+02  
7.620000e-03, 5.371580e+02  
7.740000e-03, 5.335702e+02  
7.860000e-03, 5.299950e+02  
7.980000e-03, 5.264324e+02  
8.100000e-03, 5.228823e+02  
8.220000e-03, 5.193448e+02  
8.340000e-03, 5.158198e+02  
8.460000e-03, 5.123072e+02  
8.580000e-03, 5.088070e+02  
8.700000e-03, 5.053192e+02  
8.820000e-03, 5.018438e+02  
8.940000e-03, 4.983806e+02  
9.060000e-03, 4.949298e+02  
9.180000e-03, 4.914911e+02  
9.300000e-03, 4.880647e+02  
9.420000e-03, 4.846503e+02  
9.540000e-03, 4.812481e+02  
9.660000e-03, 4.778580e+02  
9.780000e-03, 4.744798e+02  
9.900000e-03, 4.711137e+02  
1.002000e-02, 4.677595e+02  
1.014000e-02, 4.644171e+02  
