"posicao","temperatura"
3.000000e-04, 7.801057e+02  
9.000000e-04, 7.582247e+02  
1.500000e-03, 7.366847e+02  
2.100000e-03, 7.154849e+02  
2.700000e-03, 6.946242e+02  
3.300000e-03, 6.741014e+02  
3.900000e-03, 6.539147e+02  
4.500000e-03, 6.340620e+02  
5.100000e-03, 6.145410e+02  
5.700000e-03, 5.953489e+02  
6.300000e-03, 5.764826e+02  
6.900000e-03, 5.579388e+02  
7.500000e-03, 5.397138e+02  
8.100000e-03, 5.218035e+02  
8.700000e-03, 5.042036e+02  
9.300000e-03, 4.869093e+02  
9.900000e-03, 4.699158e+02  
1.050000e-02, 4.532177e+02  
1.110000e-02, 4.368095e+02  
1.170000e-02, 4.206853e+02  
1.230000e-02, 4.048390e+02  
1.290000e-02, 3.892640e+02  
1.350000e-02, 3.739538e+02  
1.410000e-02, 3.589014e+02  
1.470000e-02, 3.440994e+02  
1.530000e-02, 3.295405e+02  
1.590000e-02, 3.152169e+02  
1.650000e-02, 3.011207e+02  
1.710000e-02, 2.872436e+02  
1.770000e-02, 2.735772e+02  
1.830000e-02, 2.601130e+02  
1.890000e-02, 2.468421e+02  
1.950000e-02, 2.337555e+02  
2.010000e-02, 2.208440e+02  
2.070000e-02, 2.080982e+02  
2.130000e-02, 1.955086e+02  
2.190000e-02, 1.830654e+02  
2.250000e-02, 1.707589e+02  
2.310000e-02, 1.585791e+02  
2.370000e-02, 1.465158e+02  
2.430000e-02, 1.345588e+02  
2.490000e-02, 1.226978e+02  
2.550000e-02, 1.109225e+02  
2.610000e-02, 9.922213e+01  
2.670000e-02, 8.758630e+01  
2.730000e-02, 7.600429e+01  
2.790000e-02, 6.446542e+01  
2.850000e-02, 5.295894e+01  
2.910000e-02, 4.147406e+01  
2.970000e-02, 3.000000e+01  
