"posicao","temperatura"
1.500000e-04, 5.736009e+02  
4.500000e-04, 5.626311e+02  
7.500000e-04, 5.518026e+02  
1.050000e-03, 5.411153e+02  
1.350000e-03, 5.305692e+02  
1.650000e-03, 5.201639e+02  
1.950000e-03, 5.098993e+02  
2.250000e-03, 4.997752e+02  
2.550000e-03, 4.897913e+02  
2.850000e-03, 4.799473e+02  
3.150000e-03, 4.702427e+02  
3.450000e-03, 4.606773e+02  
3.750000e-03, 4.512504e+02  
4.050000e-03, 4.419617e+02  
4.350000e-03, 4.328106e+02  
4.650000e-03, 4.237966e+02  
4.950000e-03, 4.149189e+02  
5.250000e-03, 4.061771e+02  
5.550000e-03, 3.975705e+02  
5.850000e-03, 3.890982e+02  
6.150000e-03, 3.807595e+02  
6.450000e-03, 3.725537e+02  
6.750000e-03, 3.644800e+02  
7.050000e-03, 3.565374e+02  
7.350000e-03, 3.487250e+02  
7.650000e-03, 3.410419e+02  
7.950000e-03, 3.334872e+02  
8.250000e-03, 3.260598e+02  
8.550000e-03, 3.187588e+02  
8.850000e-03, 3.115829e+02  
9.150000e-03, 3.045312e+02  
9.450000e-03, 2.976025e+02  
9.750000e-03, 2.907955e+02  
1.005000e-02, 2.841092e+02  
1.035000e-02, 2.775423e+02  
1.065000e-02, 2.710935e+02  
1.095000e-02, 2.647616e+02  
1.125000e-02, 2.585452e+02  
1.155000e-02, 2.524429e+02  
1.185000e-02, 2.464535e+02  
1.215000e-02, 2.405755e+02  
1.245000e-02, 2.348075e+02  
1.275000e-02, 2.291480e+02  
1.305000e-02, 2.235956e+02  
1.335000e-02, 2.181488e+02  
1.365000e-02, 2.128060e+02  
1.395000e-02, 2.075657e+02  
1.425000e-02, 2.024263e+02  
1.455000e-02, 1.973863e+02  
1.485000e-02, 1.924440e+02  
1.515000e-02, 1.875979e+02  
1.545000e-02, 1.828461e+02  
1.575000e-02, 1.781872e+02  
1.605000e-02, 1.736194e+02  
1.635000e-02, 1.691410e+02  
1.665000e-02, 1.647502e+02  
1.695000e-02, 1.604454e+02  
1.725000e-02, 1.562248e+02  
1.755000e-02, 1.520866e+02  
1.785000e-02, 1.480290e+02  
1.815000e-02, 1.440502e+02  
1.845000e-02, 1.401484e+02  
1.875000e-02, 1.363218e+02  
1.905000e-02, 1.325686e+02  
1.935000e-02, 1.288868e+02  
1.965000e-02, 1.252747e+02  
1.995000e-02, 1.217303e+02  
2.025000e-02, 1.182517e+02  
2.055000e-02, 1.148371e+02  
2.085000e-02, 1.114846e+02  
2.115000e-02, 1.081922e+02  
2.145000e-02, 1.049579e+02  
2.175000e-02, 1.017800e+02  
2.205000e-02, 9.865638e+01  
2.235000e-02, 9.558513e+01  
2.265000e-02, 9.256430e+01  
2.295000e-02, 8.959192e+01  
2.325000e-02, 8.666601e+01  
2.355000e-02, 8.378461e+01  
2.385000e-02, 8.094571e+01  
2.415000e-02, 7.814734e+01  
2.445000e-02, 7.538750e+01  
2.475000e-02, 7.266418e+01  
2.505000e-02, 6.997538e+01  
2.535000e-02, 6.731910e+01  
2.565000e-02, 6.469331e+01  
2.595000e-02, 6.209601e+01  
2.625000e-02, 5.952516e+01  
2.655000e-02, 5.697876e+01  
2.685000e-02, 5.445476e+01  
2.715000e-02, 5.195115e+01  
2.745000e-02, 4.946588e+01  
2.775000e-02, 4.699694e+01  
2.805000e-02, 4.454227e+01  
2.835000e-02, 4.209985e+01  
2.865000e-02, 3.966763e+01  
2.895000e-02, 3.724357e+01  
2.925000e-02, 3.482565e+01  
2.955000e-02, 3.241180e+01  
2.985000e-02, 3.000000e+01  
